"playerID","yearID","G","G_batting","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old"
"mccutan01",2023,112,112,390,55,100,19,0,12,43,11,3,75,100,1,4,0,4,8,NA
"mcguire01",2023,72,72,187,15,50,12,1,1,16,2,1,11,53,0,1,2,1,2,NA
"mckenry01",2023,89,88,122,23,31,7,0,2,18,5,0,9,40,0,3,3,2,4,NA
"mckinbi01",2023,48,48,128,19,29,3,1,6,14,1,0,17,39,1,1,0,1,1,NA
"mckinza01",2023,148,148,464,60,107,21,4,9,35,16,6,44,113,0,5,2,3,3,NA
"mclaima01",2023,89,89,365,65,106,23,4,16,50,14,5,31,115,0,7,0,0,5,NA
"mcmahry01",2023,152,152,555,80,133,31,3,23,70,5,5,68,198,2,1,0,3,19,NA
"mcneije01",2023,156,156,585,75,158,25,4,10,55,10,0,39,65,0,18,3,3,5,NA
"meadcu01",2023,24,24,83,12,21,3,1,1,5,0,0,7,21,0,2,0,0,3,NA
"meadoau01",2023,6,6,21,0,5,1,0,0,2,0,0,0,3,0,0,0,0,0,NA
"meadopa01",2023,37,37,125,19,29,4,2,3,13,8,1,17,37,1,2,0,1,0,NA
"mecklwa01",2023,20,20,56,6,13,1,0,0,4,0,0,6,25,0,2,0,0,0,NA
"mejiafr01",2023,50,50,150,22,34,11,0,5,19,0,1,6,38,0,1,1,2,2,NA
"melenmj01",2023,148,148,533,65,125,29,5,16,56,6,4,62,170,2,3,0,4,4,NA
"mendida01",2023,35,33,65,4,12,3,0,1,4,1,0,4,15,0,0,0,0,1,NA
"menesjo01",2023,154,154,611,71,168,36,1,13,89,0,0,38,130,0,5,0,3,15,NA
"mercaos01",2023,20,20,31,3,9,3,0,0,5,2,1,1,4,0,0,0,0,0,NA
"merriwh01",2023,145,145,547,66,149,27,0,11,67,26,10,36,101,2,3,0,6,15,NA
"mervima01",2023,27,27,90,8,15,2,0,3,11,0,0,8,32,0,1,0,0,1,NA
"meyerja02",2023,112,112,309,42,70,16,1,10,33,5,2,26,88,0,5,0,1,2,NA
"milladr01",2023,11,11,28,1,8,2,0,1,6,0,0,4,5,0,0,1,0,2,NA
"millebr02",2023,27,27,56,8,12,4,0,1,6,0,0,10,11,0,0,0,1,1,NA
"milleow01",2023,90,90,291,29,76,17,0,5,27,13,2,17,61,1,2,0,4,6,NA
"millesh01",2023,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"miranjo01",2023,40,40,142,12,30,4,0,3,13,0,0,9,24,0,1,0,0,8,NA
"mitchca01",2023,2,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA
"mitchga01",2023,19,19,65,10,16,2,1,3,7,1,1,7,26,0,0,0,1,0,NA
"monasan01",2023,92,92,282,38,73,14,1,3,27,7,2,28,66,0,3,0,2,9,NA
"moncayo01",2023,92,92,334,39,87,20,1,11,40,1,0,20,107,0,2,0,1,6,NA
"moniami01",2023,85,85,311,35,87,21,2,14,45,6,3,9,113,1,3,0,0,4,NA
"monteco01",2023,18,18,38,3,7,2,0,1,3,0,0,2,12,0,1,0,0,0,NA
"monteel01",2023,85,85,284,40,69,15,2,11,39,0,0,15,111,0,5,0,3,5,NA
"mooredy01",2023,67,67,145,18,30,9,1,7,19,7,3,16,56,0,4,0,0,1,NA
"morelch01",2023,107,107,388,62,96,17,3,26,70,6,2,36,133,0,2,1,2,7,NA
"morenga01",2023,111,111,341,33,97,19,1,7,50,6,2,29,75,0,3,0,7,17,NA
"motteta01",2023,29,29,76,3,13,3,0,0,2,0,0,5,31,0,1,0,0,0,NA
"mountry01",2023,115,115,423,64,114,21,1,18,68,3,1,37,107,1,3,0,7,13,NA
"moustmi01",2023,112,112,352,43,87,15,0,12,48,0,0,23,95,1,3,0,8,7,NA
"mullice01",2023,116,116,404,51,94,23,3,15,74,19,3,43,101,1,1,3,4,6,NA
"muncyma01",2023,135,135,482,95,102,17,1,36,105,1,2,85,153,4,6,0,6,8,NA
"murphse01",2023,108,108,370,65,93,21,0,21,68,0,0,49,98,0,18,0,1,18,NA
"murphto04",2023,47,47,145,19,42,12,0,8,17,0,0,10,44,0,1,0,2,4,NA
"myersda01",2023,22,22,67,9,18,3,0,1,9,1,1,2,19,0,0,0,1,1,NA
"myerswi01",2023,37,37,127,11,24,3,0,3,12,2,1,12,48,0,0,1,1,3,NA
"naquity01",2023,5,5,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,NA
"narvaom01",2023,49,49,128,12,27,5,0,2,7,0,0,14,27,0,0,1,3,1,NA
"naylobo01",2023,67,67,198,33,47,13,0,11,32,5,0,30,53,1,1,0,1,2,NA
"naylojo01",2023,121,121,452,52,139,31,0,17,97,10,3,33,68,9,3,0,7,11,NA
"netoza01",2023,84,84,289,38,65,17,0,9,34,5,1,20,77,0,16,1,3,5,NA
"nevinty01",2023,41,41,95,11,19,3,1,2,10,0,1,12,25,0,3,0,1,1,NA
"newmake01",2023,74,74,225,28,57,16,0,3,28,8,1,17,34,0,4,2,5,7,NA
"nidoto01",2023,22,22,56,5,7,0,0,0,1,0,0,2,18,0,0,2,1,2,NA
"nimmobr01",2023,152,152,592,89,162,30,6,24,68,3,3,74,146,0,11,1,4,6,NA
"nodary01",2023,128,128,406,63,93,22,1,16,54,3,1,77,170,1,10,0,2,4,NA
"nolaau01",2023,52,52,130,9,19,3,0,1,8,0,0,18,31,0,2,4,0,5,NA
"nootbla01",2023,117,117,426,74,111,23,1,14,46,11,1,72,99,2,1,1,3,7,NA
"odorro01",2023,59,59,138,21,28,9,0,4,18,2,1,17,37,0,2,0,0,2,NA
"ohearry01",2023,112,112,346,48,100,22,1,14,60,5,1,15,82,2,3,1,3,2,NA
"ohopplo01",2023,51,51,182,23,43,6,0,14,29,0,1,14,48,0,2,0,1,4,NA
"ohtansh01",2023,135,135,497,102,151,26,8,44,95,20,6,91,143,21,3,0,3,9,NA
"okeefbr01",2023,8,8,19,0,2,2,0,0,2,0,0,2,7,0,0,0,0,2,NA
"okeych01",2023,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
"olivaed02",2023,107,107,354,47,93,23,4,12,36,11,5,22,64,1,7,0,2,7,NA
"olsonma02",2023,162,162,608,127,172,27,3,54,139,1,0,104,167,8,4,0,4,13,NA
"oneilty01",2023,72,72,238,27,55,14,0,9,21,5,0,28,67,0,0,0,0,5,NA
"orneljo01",2023,8,8,7,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0,NA
"ortegra01",2023,47,47,114,16,25,3,0,1,8,6,1,20,33,0,1,1,0,0,NA
"ortizjo06",2023,15,15,33,4,7,1,0,0,4,0,0,0,9,0,0,0,1,2,NA
"outmaja01",2023,151,151,483,86,120,16,3,23,70,16,3,68,181,1,12,0,4,4,NA
"owingch01",2023,11,10,25,0,4,0,0,0,0,0,0,0,12,0,0,0,0,1,NA
"ozunama01",2023,144,144,530,84,145,29,1,40,100,0,0,57,134,1,3,0,2,9,NA
"pachecr01",2023,48,48,84,12,20,7,1,2,11,2,3,10,27,0,0,1,0,1,NA
"padloke01",2023,3,3,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA
"palacjo01",2023,91,91,247,26,59,9,2,10,40,5,0,12,56,0,2,2,1,7,NA
"palacri01",2023,32,32,93,9,24,6,0,6,16,2,0,6,11,0,1,1,1,1,NA
"paredis01",2023,143,143,492,71,123,24,0,31,98,1,0,58,104,0,20,0,1,11,NA
"parisky01",2023,15,15,40,4,4,0,0,0,1,3,0,4,17,0,1,1,0,0,NA
"pasquvi01",2023,61,61,231,24,57,17,0,9,26,0,0,25,31,2,2,0,1,7,NA
"pederjo01",2023,121,121,358,59,84,14,3,15,51,0,0,57,89,6,7,0,3,12,NA
"pegueli01",2023,59,59,198,21,47,4,1,7,26,6,2,11,67,0,1,2,1,6,NA
"penaje02",2023,150,150,577,81,152,32,3,10,52,13,9,43,129,1,9,1,1,11,NA
"peralda01",2023,133,133,394,47,102,25,1,7,55,4,1,20,72,1,2,0,6,8,NA
"perazos02",2023,52,52,173,15,33,8,0,2,14,4,3,13,50,0,5,0,0,1,NA
"perdoge01",2023,144,144,407,71,100,20,4,6,47,16,4,64,86,1,6,14,4,2,NA
"pereiev01",2023,27,27,93,6,14,4,0,0,10,4,0,8,40,0,2,0,0,1,NA
"perezca02",2023,68,66,168,17,38,4,0,6,20,0,0,13,40,0,4,1,3,4,NA
"perezca03",2023,27,27,49,5,10,4,0,1,3,0,0,4,11,0,0,0,0,2,NA
"perezmi03",2023,3,3,8,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,NA
"perezro02",2023,5,5,15,0,2,0,0,0,1,0,0,2,6,0,0,0,0,0,NA
"perezsa02",2023,140,140,538,59,137,21,0,23,80,0,0,19,135,6,13,0,8,11,NA
"perkibl01",2023,67,67,143,28,31,7,0,4,20,5,2,23,46,0,0,2,0,3,NA
"peterja01",2023,134,133,374,35,79,10,4,6,37,15,2,47,101,2,4,2,3,7,NA
"phamth01",2023,128,129,426,55,109,27,3,16,68,22,3,47,106,1,2,0,6,11,NA
"phillbr02",2023,40,39,63,9,11,1,0,3,6,3,1,8,36,0,0,0,0,0,NA
"pillake01",2023,81,81,197,29,45,10,0,9,32,4,1,6,50,0,0,0,3,2,NA
"pinama01",2023,4,4,12,1,3,0,0,1,1,0,0,0,3,0,0,0,0,1,NA
"pintore02",2023,39,38,103,10,26,3,0,6,16,0,0,2,34,0,0,0,0,2,NA
"polanjo01",2023,79,80,302,38,77,18,0,14,48,4,0,36,88,0,2,0,3,2,NA
"polloaj01",2023,54,54,133,15,22,4,0,5,15,0,1,9,32,0,0,0,2,1,NA
"portelo01",2023,11,11,31,4,6,1,0,1,3,0,0,5,11,0,1,1,0,2,NA
"prattni01",2023,95,95,306,33,71,16,0,7,35,1,1,29,138,0,6,0,4,3,NA
"profaju01",2023,125,125,459,55,111,27,2,9,46,1,0,50,90,0,6,0,5,11,NA
"quereju01",2023,9,9,20,2,2,1,0,0,0,0,0,1,6,0,0,0,0,0,NA
"rafaece01",2023,28,28,83,11,20,6,0,2,5,3,1,4,28,0,1,0,1,2,NA
"raleica01",2023,145,145,513,78,119,23,1,30,75,0,0,54,158,1,1,0,1,6,NA
"raleylu01",2023,118,118,357,56,89,23,3,19,49,14,3,28,128,0,18,1,2,2,NA
"ramirha02",2023,122,122,400,58,125,19,2,12,68,5,3,22,79,0,6,0,6,7,NA
"ramirjo01",2023,156,156,611,87,172,36,5,24,80,28,6,73,73,22,1,0,6,8,NA
"ramoshe01",2023,23,23,74,9,18,3,1,0,5,2,1,11,21,0,1,0,0,2,NA
"ramoshe02",2023,25,25,56,5,10,4,0,1,2,0,0,4,20,0,0,0,0,1,NA
"realmjt01",2023,135,135,489,70,123,28,5,20,63,16,5,35,138,3,9,0,5,10,NA
"refsnro01",2023,89,89,202,31,50,9,1,1,28,7,2,33,47,0,5,1,1,8,NA
"remilza01",2023,54,54,147,16,37,7,0,1,18,4,3,8,48,1,1,4,0,3,NA
"rendoan01",2023,43,43,148,23,35,6,0,2,22,2,0,25,27,0,6,0,4,6,NA
"renfrhu01",2023,140,140,498,60,116,31,0,20,60,0,0,44,125,0,3,0,3,15,NA
"rengilu01",2023,126,126,394,55,104,15,4,16,51,6,4,41,82,0,6,0,4,3,NA
"reyesfr01",2023,19,19,59,5,11,0,0,2,7,0,0,4,24,0,0,0,2,3,NA
"reyespa01",2023,64,64,167,27,48,9,0,2,20,7,2,14,21,0,0,2,2,3,NA
"reynobr01",2023,145,145,574,85,151,31,5,24,84,12,1,53,138,2,7,0,6,13,NA
"reynoma03",2023,2,2,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
"rileyau01",2023,159,159,636,117,179,32,3,37,97,3,1,59,172,4,9,0,11,18,NA
"riosed01",2023,18,18,28,3,2,1,0,1,2,0,0,5,16,0,1,0,0,0,NA
"rivasal01",2023,48,48,109,8,25,10,1,3,15,1,0,9,36,0,3,1,1,1,NA
"riverem01",2023,86,86,257,32,67,13,0,4,29,1,0,22,56,0,0,0,4,9,NA
"rizzoan01",2023,99,99,373,45,91,14,0,12,41,0,3,35,97,1,12,0,1,10,NA
"roberlu01",2023,145,145,546,90,144,36,1,38,80,20,4,30,172,5,12,0,2,10,NA
"roblevi01",2023,36,36,107,15,32,5,1,0,8,8,1,11,18,0,4,4,0,3,NA
"rocchbr01",2023,23,23,81,9,20,6,0,0,8,0,0,4,27,0,0,0,1,4,NA
"rodgebr02",2023,46,46,178,21,46,9,1,4,20,0,0,11,41,0,3,0,0,6,NA
"rodrien01",2023,57,57,186,27,41,7,2,3,13,0,0,17,49,0,0,0,1,3,NA
"rodriju01",2023,155,155,654,102,180,37,2,32,103,37,10,47,175,6,11,0,2,14,NA
