pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
SI,70,571745,"Haniger, Mitch",583,12,0.429,0.381,0.5,0.81,0.545,0.427,0.303,9,21,86.7,6.4,2085,93.8,94.1,9,37,33,0.3,6.49,106,151,120,146,301,323,289,-3.3,3.3,72.750995,6.810596333
FC,45,571745,"Haniger, Mitch",583,7.7,0.5,0.5,0.75,1,0.644,0.604,0.443,4,8,103,14.4,2373,89.5,90.3,5,21,24,0.8,6.57,110,152,120,147,301,324,290,-2.7,2.7,72.93705105,7.303688947
CU,22,571745,"Haniger, Mitch",583,3.8,0.667,0.667,0.6,1.333,0.844,0.555,0.422,4,6,97.1,24.2,2607,79.3,78.99,0,6,16,-0.3,6.24,110,153,120,147,297,321,291,-2.5,2.5,72.64363333,6.969345
ST,61,571745,"Haniger, Mitch",583,10.5,0.385,0,0.5,0.385,0.364,0.413,0.414,5,13,82.9,10.9,2586,82.6,82.85,9,30,31,0.3,6.52,110,151,120,147,299,323,289,-1.6,1.6,70.486546,7.570068667
FF,165,571745,"Haniger, Mitch",583,28.3,0.176,0.294,0.176,0.471,0.314,0.297,0.179,6,34,89.9,18.8,2285,94.1,94.54,24,76,89,0.4,6.51,110,152,120,147,299,322,290,-0.9,0.9,69.99280567,6.417169403
CH,21,571745,"Haniger, Mitch",583,3.6,0.333,0.333,0.333,0.667,0.486,0.425,0.308,1,3,83.2,15,1820,85.4,85.98,1,6,15,0.6,6.56,110,152,120,145,299,324,291,-0.6,0.6,64.664265,7.271835
FS,10,571745,"Haniger, Mitch",583,1.7,0,0,0,0,0,0.117,0.13,0,1,80.7,-48,1162,87,86.92,0,4,6,-0.1,6.2,113,151,115,144,301,321,288,-0.1,0.1,73.924205,7.2876575
KC,11,571745,"Haniger, Mitch",583,1.9,0.333,0,1,0.333,0.294,0.182,0.161,1,3,102.1,17,2400,84.1,84.45,3,5,6,0.3,6.62,97,149,118,143,309,322,292,0.1,-0.1,63.0322575,7.3529225
SL,117,571745,"Haniger, Mitch",583,20.1,0.125,0,0.222,0.125,0.27,0.31,0.168,2,16,94.5,28.3,2419,85.5,85.96,15,38,79,0.5,6.49,109,152,121,146,300,321,289,0.6,-0.6,69.60254516,7.520926129
CH,59,593871,"Polanco, Jorge",488,12.1,0.25,0.188,0.333,0.438,0.293,0.386,0.349,4,16,83.7,6,1789,85.9,86.25,14,31,28,0.4,6.49,114,146,114,152,292,323,294,-1.2,1.2,64.214355,7.61398625
SL,49,593871,"Polanco, Jorge",488,10,0.167,0.25,0.333,0.417,0.335,0.375,0.218,2,12,87.7,6.5,2298,84.8,85.35,8,20,29,0.5,6.47,114,146,115,152,291,321,291,-1.1,1.1,69.029695,6.8820575
FF,136,593871,"Polanco, Jorge",488,27.9,0.321,0.25,0.444,0.571,0.408,0.364,0.257,9,28,93.9,23.8,2262,94.3,94.53,12,61,75,0.2,6.39,116,146,114,152,291,322,292,-0.6,0.6,69.79373056,6.897133148
KC,13,593871,"Polanco, Jorge",488,2.7,0,0,0,0,0.24,0.288,0.072,0,2,92.4,-12,2450,81.8,82.14,0,1,12,0.3,6.5,113,146,108,153,296,321,297,-0.2,0.2,,
FC,39,593871,"Polanco, Jorge",488,8,0.143,0.429,0,0.571,0.342,0.402,0.23,1,7,98.5,35.8,2270,88.7,89.14,7,18,21,0.4,6.37,108,146,114,151,292,321,292,0,0,66.44127889,7.005491111
ST,29,593871,"Polanco, Jorge",488,5.9,0.125,0,0.333,0.125,0.11,0.051,0.035,1,8,75.3,1,2578,82,82.02,9,13,16,0,6.36,117,145,113,151,291,321,295,0.5,-0.5,71.4345775,7.953485
CU,33,593871,"Polanco, Jorge",488,6.8,0,0,0,0,0,0.083,0.087,0,3,77.3,-8.5,2540,80.2,80.25,3,8,25,0,6.32,119,147,108,153,292,324,292,1,-1,68.50482333,7.224405
FS,34,593871,"Polanco, Jorge",488,7,0,0,0,0,0.188,0.224,0.054,0,8,104.3,0,1225,84.9,85.33,7,10,24,0.4,6.51,114,145,114,150,293,321,288,1.3,-1.3,67.1522625,7.81968625
SI,35,593871,"Polanco, Jorge",488,7.2,0,0,0,0,0.115,0.662,0.562,0,5,90.2,7.4,2046,95.1,95.85,5,14,21,0.7,6.62,107,145,97,150,292,323,295,1.9,-1.9,71.07134923,7.121323846
