pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
FC,36,527038,"Flores, Wilmer",271,13.3,0.2,0.6,0,0.8,0.489,0.544,0.295,1,5,83.6,2.8,2468,90.8,91.02,1,10,26,0.2,6.39,101,150,123,144,303,322,291,0,0,64.32257444,6.413692222
CU,15,527038,"Flores, Wilmer",271,5.5,0.25,0,0.333,0.25,0.221,0.202,0.218,1,4,91.3,-1.7,2743,80.7,80.58,2,8,7,-0.1,6.41,117,154,128,148,304,328,300,0.1,-0.1,63.56781,6.9787775
FS,10,527038,"Flores, Wilmer",271,3.7,0,0,0,0,0,0.059,0.066,0,3,65.7,51.7,1110,85.2,85.88,1,4,6,0.7,6.6,114,152,128,146,297,327,298,0.6,-0.6,65.7006575,7.3807575
ST,25,527038,"Flores, Wilmer",271,9.2,0.143,0.143,0.167,0.286,0.179,0.28,0.285,1,7,82.1,24.5,2631,83.5,83.56,1,10,15,0.1,6.4,104,151,120,147,297,321,290,0.9,-0.9,65.38311714,7.064201429
SL,40,527038,"Flores, Wilmer",271,14.8,0.167,0,0.25,0.167,0.225,0.151,0.068,1,6,64.5,-9.8,2503,86,86.18,6,21,19,0.2,6.3,111,151,126,147,301,322,294,1,-1,59.50283533,7.295539333
FF,71,527038,"Flores, Wilmer",271,26.2,0.158,0,0.188,0.158,0.214,0.261,0.18,3,19,85.7,17.6,2341,95.5,95.91,7,30,41,0.4,6.55,111,152,123,148,300,323,292,1.9,-1.9,64.85179792,6.74043875
FC,24,671218,"Ramos, Heliot",465,5.2,0.667,1,0.5,1.667,0.976,0.788,0.478,2,3,100.2,26,2489,92,92.84,3,13,11,0.8,6.58,109,152,122,148,309,322,294,-0.9,0.9,74.837114,6.589508
CH,17,671218,"Ramos, Heliot",465,3.7,0.5,0,1,0.5,0.441,0.386,0.411,2,4,89.9,13.5,1801,83.5,83.78,4,10,7,0.3,6.29,110,145,121,142,303,323,299,-0.4,0.4,77.03871556,7.769614444
SI,86,671218,"Ramos, Heliot",465,18.5,0.3,0.15,0.333,0.45,0.34,0.261,0.243,6,20,89.9,-4,2149,93.5,94.05,7,35,51,0.5,6.51,105,151,123,147,307,323,296,0,0,70.44491303,6.092912424
FF,129,671218,"Ramos, Heliot",465,27.7,0.259,0.111,0.316,0.37,0.314,0.387,0.312,7,27,97.2,12.6,2294,95.3,95.84,19,69,60,0.5,6.58,107,152,124,148,309,322,295,0.8,-0.8,72.02706313,6.308502537
SL,94,671218,"Ramos, Heliot",465,20.2,0.19,0.19,0.231,0.381,0.262,0.281,0.204,4,21,90.6,8.9,2507,86.9,87.39,12,40,54,0.5,6.41,106,151,123,147,309,322,295,1,-1,73.86567868,7.239865263
CU,23,671218,"Ramos, Heliot",465,4.9,0.182,0,0.25,0.182,0.205,0.237,0.211,2,11,85.5,-1.4,2777,80.4,80.44,5,15,8,0,6.31,110,153,125,149,310,325,297,1.8,-1.8,74.63809,7.377978462
ST,30,671218,"Ramos, Heliot",465,6.5,0,0,0,0,0,0.093,0.099,0,9,78,9.7,2541,83.5,84,8,18,12,0.5,6.64,108,152,124,150,309,324,294,2.5,-2.5,75.08839,7.816022222
